,Headline,Company,Date,Sentiment
88,Get a new Apple Watch Series 4 for one of the lowest prices we've seen,Apple,2018-12-31,1.319292222761445
89,Review: 802.11ac Synology RT2600ac router is the best AirPort replacement we've found yet,Apple,2018-12-31,2.6720610510567306
90,How to Watch 'Black Mirror: Bandersnatch' on Apple TV or Chromecast,Apple,2019-01-02,0.23088216472468867
91,Read Tim Cook's letter about Apple sales,Apple,2019-01-02,1.0
92,The Dumbest Custom iPhone Yet,Apple,2019-01-02,-4.0
93,"Shutdown, Nancy Pelosi, Apple: Your Wednesday Evening Briefing",Apple,2019-01-02,-2.0
94,Netflix delivers a blow to Apple’s services story by ending in-app subscriptions,Apple,2019-01-02,-2.0
95,"AirPower Misses Promised 2018 Launch, But Might Not Be Canceled",Apple,2019-01-02,-2.789943329851663
96,China Takes Wind Out Of Apple iPhone Sales,Apple,2019-01-02,0.07291879864633988
97,Apple Devices Running iOS 13 Spotted in Analytics,Apple,2019-01-02,0.0
98,Apple stocks tumble after company cuts forecasts for key quarter,Apple,2019-01-02,-0.7810996937123389
99,"Apple slashes Q1 2019 forecast, blaming China and low iPhone upgrades",Apple,2019-01-02,0.21467817632248146
100,"Netflix cut off a $256 million revenue stream for Apple by circumventing iTunes billing (AAPL, NFLX)",Apple,2019-01-02,-4.359719336288348
101,Patents reveal Apple is looking into “smart fabric”,Apple,2019-01-02,0.0
102,A profit warning from Apple jolts markets,Apple,2019-01-03,-0.6737922309213474
103,"Apple Revenue Warning Triggers Yen Spike, Sharp US Equity Futures Decline - TheStreet.com",Apple,2019-01-02,0.5499097098496932
104,"Apple issues rare revision to earnings guidance, lowering expectations due to ‘fewer iPhone upgrades’",Apple,2019-01-02,1.4142135623730951
105,OhMiBod debuts an Apple Watch app for its remote vibrators,Apple,2019-01-03,-2.818517115026726
106,"Apple sets App Store sales record during holidays, despite disastrous quarter",Apple,2019-01-03,-1.603022689155527
107,Markets shudder after Apple warns about sales,Apple,2019-01-03,-2.789943329851663
108,5 takeaways from Apple's stark China warning,Apple,2019-01-03,-2.4696489971821096
109,Apple shares fall almost 9% at US open,Apple,2019-01-03,-2.789943329851663
110,Dow futures tumble after Apple warns about Chinese sales,Apple,2019-01-03,-2.82674703720576
111,What Happened the Last Time Apple Had a Panic This Bad,Apple,2019-01-03,-0.5456942789864834
112,Apple loses $57 billion in market value as its stock plunges,Apple,2019-01-03,-2.0
113,Apple loses $57 billion in market value as its stock plunges,Apple,2019-01-03,-2.0
114,"Dyson vacuums, Beats, Apple iPad, Google Home, Fitbit, and more on sale for Jan. 3",Apple,2019-01-03,-2.2020946763961056
115,Charter Spectrum's App for Apple TV Launches,Apple,2019-01-03,0.0
116,Dow plunges more than 600 points after Apple warning - LocalNews8.com,Apple,2019-01-03,-1.695646083701752
117,Apple's sweet talk about its $10.8 billion services business was totally undermined by Netflix (AAPL),Apple,2019-01-03,-3.7796447300922726
118,Apple suspends some iPhone sales in Germany as Qualcomm ponies up - CNET,Apple,2019-01-03,0.048737017882857975
119,Qualcomm patent dispute forces Apple to pull iPhone 7 and 8 from its stores in Germany,Apple,2019-01-04,-4.672175227431138
120,HTC had a truly terrible 2018,Apple,2019-01-04,-2.7705385634675253
121,Apple Has No One to Blame but Itself for Its Current Troubles - TheStreet.com,Apple,2019-01-04,-5.217535056401379
122,Trump to Apple: Make your product in the United States - The News International,Apple,2019-01-04,0.23512328074337993
123,Qualcomm Facing Off With FTC in Antitrust Trial That Kicks Off Today,Apple,2019-01-04,-0.8944271909999159
124,"Apple has way bigger problems than China, analysts say (AAPL)",Apple,2019-01-04,-5.59138421781203
125,The Morning After: Behind the scenes of 'Bandersnatch',Apple,2019-01-04,2.0
126,White House Advisor Kudlow Says Apple Technology May Have Been 'Picked Off' by China,Apple,2019-01-04,-4.0
127,The $450 billion wipeout: Apple's value has fallen by more than Facebook's entire worth in three short months,Apple,2019-01-04,0.2922466458162592
128,Trump unconcerned about Apple's China sales warning - BNNBloomberg.ca,Apple,2019-01-04,-4.757942001396202
129,How to turn on Airplane Mode on Apple Watch,Apple,2019-01-04,0.0
130,Nobody Really Knows Why Apple Is Struggling in China,Apple,2019-01-04,-2.4688135108098583
131,New Pandora update includes Apple Watch app with offline playback,Apple,2019-01-04,-3.3571615666571772
132,Apple Is Looming Over CES,Apple,2019-01-07,0.0
133,Withings ECG smartwatch is an analog Apple Watch killer,Apple,2019-01-07,-0.2648706839525752
134,Apple's news at CES 2019 shows it's facing some hard truths,Apple,2019-01-07,-1.8844683128223043
135,Apple's Snuck Its Way Into LG's 2019 Televisions,Apple,2019-01-07,1.4055638569974545
136,Vizio adds Apple AirPlay and HomeKit integrations to its SmartCast smart TV platform,Apple,2019-01-07,1.7160493827160495
137,Apple’s trillion dollar market cap was always a false idol,Apple,2019-01-07,3.6670525326017924
138,Tim Cook has a really big iPhone problem,Apple,2019-01-07,-2.0
139,Withings puts ECG in its $130 Move fitness watch at CES 2019 - CNET,Apple,2019-01-07,-2.0
140,CES 2019: An Arlo home security system is here at last - CNET,Apple,2019-01-07,0.0
141,"At CES 2019, Apple finally sets iTunes, AirPlay loose - CNET",Apple,2019-01-07,-2.0
142,"Apple, Samsung come together to bring iTunes to new Samsung Smart TV models",Apple,2019-01-07,-2.0
143,Apple burns Google in giant billboard touting privacy at CES - TheSpec.com,Apple,2019-01-07,0.20811215266094385
144,"AirPlay 2 on Smart TVs: Other Brands Coming, Lock Screen Controls, Siri, and More",Apple,2019-01-07,1.4094865835678874
145,"Sorry Apple, I’m still not ready to upgrade my iPhone",Apple,2019-01-08,-2.7955373189664456
146,Sony's new 8K and 4K TVs will have Apple AirPlay too,Apple,2019-01-08,-2.0
147,Samsung Joins Apple in the Revenue Estimate Hurt Locker,Apple,2019-01-08,-1.0
148,"Microsoft Surface Pro, Apple iPad, Fitbit, Instant Pot, Dyson, Vitamix blenders, Fire TV Cube, and more deals for Jan. 8",Apple,2019-01-08,1.2773500981126147
149,CES 2019: The Withings Move fitness watch has ECG for $130 - CNET,Apple,2019-01-08,-2.0
150,Apple CEO Tim Cook: Apple's 'Ecosystem Has Never Been Stronger' and Long-Term Health Has 'Never Been Better',Apple,2019-01-08,-2.0
151,These new JVC multimedia receivers offer wireless access to Android Auto,Apple,2019-01-08,1.6173246886077006
152,"Apple Shares List of AirPlay 2-Enabled Smart TVs From Samsung, LG, Sony, and Vizio",Apple,2019-01-08,1.4142135623730951
153,Apple forever changed the biggest tech event of the year by not showing up,Apple,2019-01-08,0.0
154,"Like Apple, Samsung Feels Sting of Slowed Global Economic Growth",Apple,2019-01-08,-1.6667727282808582
155,Apple Music lyrics & search expanding to several new countries,Apple,2019-01-08,0.0
156,"Sony slips AirPlay 2 and Homekit into its new TVs, too",Apple,2019-01-08,-1.417128571881321
157,"Samsung's profit and sales will miss estimates by a large margin, the company warns",Apple,2019-01-08,0.09670980886427659
158,"Apple is reportedly cutting iPhone production by 10% over the next 3 months, further signalling the firm's woes",Apple,2019-01-09,2.7303618253948003
159,Apple cuts first-quarter production plan for new iPhones by 10 percent: Nikkei,Apple,2019-01-09,0.0
160,"Apple will face bigger challenges as 'China bites even more,' HSBC says (AAPL)",Apple,2019-01-09,-3.884468312822304
161,"Sources: Apple to Expand Crowded Eaton Centre Store in Toronto, More Evidence of Yonge-Bloor Flagship Emerges",Apple,2019-01-09,1.0
162,"Amazon, Apple and Google Steal The Show at CES",Apple,2019-01-09,0.3368961154606737
163,Qualcomm Calls Tim Cook's Statement on Settlement Talks 'Misleading',Apple,2019-01-09,0.0
164,Tim Cook repeats one of Steve Jobs’ favorite sayings to defend Apple during its slump: 'It just works' (AAPL),Apple,2019-01-09,1.3209702095116507
165,Apple CEO Tim Cook Calls Reports That iPhone XR is a Flop 'Bologna',Apple,2019-01-09,-1.0
166,Apple will reportedly manufacture 10% fewer iPhones this quarter,Apple,2019-01-09,1.048737017882858
167,"AirPlay 2 is coming to more TVs, proving Apple can change its mind",Apple,2019-01-09,-1.0
168,Apple to present Korean police with an award for preventing sale of counterfeit Apple products,Apple,2019-01-09,0.8788619134014911
169,"Apple cuts iPhone XS/XR production by another 10 percent, Nikkei claims",Apple,2019-01-09,1.0
170,Apple hires prominent Facebook privacy critic whose privacy warnings were ignored,Apple,2019-01-09,-1.1547005383792517
171,Apple Watch customer identifies A-fib heart condition after dismissing symptoms as ‘holiday anxiety’,Apple,2019-01-09,-2.8924051224201044
172,Rebuilt Salesforce SDK now available to third-party iOS developers,Apple,2019-01-09,2.373499547647362
173,Apple who? Get the newest Samsung Galaxy Tab A with Verizon 4G LTE on sale for under $150 at Best Buy.,Apple,2019-01-10,3.386750490563073
174,Apple Seeds Fourth Beta of iOS 12.1.3 to Developers and Public Beta Testers,Apple,2019-01-10,0.0
175,5 ways Apple needs to up its game if it wants to be a services company,Apple,2019-01-10,-1.0
176,Apple Maps turn-by-turn directions now available in India,Apple,2019-01-10,2.679603926186716
177,"CompuCom begins offering Macs, iPhones & iPads plus support as a service",Apple,2019-01-10,0.0
178,How to find out what USB ports are on your Apple devices and other electronics,Apple,2019-01-10,0.0
179,Apple releasing iOS 12.1.3 developer beta 4 later today,Apple,2019-01-10,0.8599716587478555
180,Peak Apple: This time it's SERIOUS,Apple,2019-01-10,0.0
181,"Foxconn revenue falls, company blames a large fall in ‘consumer category products’",Apple,2019-01-10,0.16338647889054306
182,Apple slashes iPhone XR prices for Chinese resellers in bid to kickstart demand,Apple,2019-01-10,0.6038772616713559
183,"Apple sees Mac sales dip, marketshare increase in Q4 PC industry estimates",Apple,2019-01-10,0.27171928052559874
184,"Lady Gaga pulls her song with R. Kelly from iTunes, Apple Music",Apple,2019-01-11,-4.385867316945676
185,"Apple reportedly planning three iPhones for 2019, one with new triple camera system",Apple,2019-01-11,2.412612867392256
186,TiVo will add apps for smart TV boxes and WiFi for Mini this year,Apple,2019-01-11,-0.6737922309213474
187,"Apple Considered 5G Modem Chips From Samsung, MediaTek, and Intel for 2019 iPhones",Apple,2019-01-11,-3.4543419135007456
188,"Apple planning three new iPhone models this year, WSJ reports - BNNBloomberg.ca",Apple,2019-01-11,0.0
189,"Apple considered Samsung, MediaTek to supply 5G modems for 2019 iPhones - Yahoo News Canada",Apple,2019-01-11,1.0
190,Save $50 on the new Samsung Galaxy Watches at Best Buy,Apple,2019-01-11,1.7407980887003043
191,Apple Adding Late 2012 iMacs to Vintage and Obsolete Products Pilot Program at End of January,Apple,2019-01-11,-3.226275245936202
192,Apple reportedly plans to launch three iPhones in 2019 - CNET,Apple,2019-01-11,1.412612867392256
193,Apple: Qualcomm's hardball tactics squeezed Intel chips out of iPad Mini 2 - CNET,Apple,2019-01-11,-2.0
194,Apple Might Debut 3 New iPhones in 2019,Apple,2019-01-11,1.0
195,"Possibilities of a Triple-Lens iPhone Camera: Improved 3D Sensing, Zoom, and Low-Light Photos",Apple,2019-01-11,-1.0
196,TCL on AirPlay-2 Enabled TVs: 'We Are Currently Committed to Roku',Apple,2019-01-11,2.414213562373095
197,Apple publishes language server implementation for Swift and C-family languages,Apple,2019-01-11,0.0
198,"Apple books 50 daily flights to China, spends $150 million a year with a single airline",Apple,2019-01-14,3.414213562373095
199,Apple HomePod comes to China at $400 amid iPhone sales woes,Apple,2019-01-14,-0.10433245308338779
200,Rumor suggests Apple’s AirPower mat has finally gone into production,Apple,2019-01-14,-3.417128571881321
201,Apple’s HomePod officially goes on sale in China on January 18,Apple,2019-01-14,1.386750490563073
202,"NBCUniversal jumping on the streaming-service bandwagon, report says - CNET",Apple,2019-01-14,0.0
203,"Apple Wanted to Use Qualcomm Chips for 2018 iPhones, But Qualcomm Wouldn't Sell Them",Apple,2019-01-14,-4.0
204,Best Buy is running a huge sale on Apple Watch Series 3 models today,Apple,2019-01-14,1.3362539524332426
205,Apple Health Records survey shows mixed but positive early results,Apple,2019-01-14,1.4142135623730951
206,OnePlus's big year ahead could help it finally leapfrog the Android world,Apple,2019-01-14,-0.15486985207567705
207,"Dialog hit Q4 guidance despite 75% of its income coming from Apple, says company",Apple,2019-01-14,-2.0
208,"Apple says Qualcomm refused to sell modems for iPhone XS and XR, citing legal battle",Apple,2019-01-14,-1.789943329851663
209,United Airlines takes down poster that revealed Apple is its largest corporate spender,Apple,2019-01-14,2.414213562373095
210,Apple reportedly replaced 10 times as many batteries as expected in 2018,Apple,2019-01-15,1.412612867392256
211,Verizon adds free Apple Music to its pricier unlimited data plans,Apple,2019-01-15,0.8192880303729139
212,German court tosses Qualcomm’s latest iPhone patent suit,Apple,2019-01-15,-5.647400291881965
213,Latest Apple Rumor Says There's a New iPod in the Works,Apple,2019-01-15,1.6718545743388296
214,Sofia Coppola and Bill Murray will reunite for Apple and A24,Apple,2019-01-15,1.0
215,11 million iPhone users chose to get battery replacements: report,Apple,2019-01-15,-2.3173404079876883
216,"Apple's First A24 Film to Star Bill Murray and Rashida Jones, Sofia Coppola to Direct",Apple,2019-01-15,1.0
217,German court throws out Qualcomm's latest patent case against Apple,Apple,2019-01-15,0.7411856873793271
218,"Apple Replaced 11 Million iPhone Batteries in 2018, Up From 1 to 2 Million",Apple,2019-01-15,1.0
219,TD Ameritrade taps Apple Pay for instant fund transfers to accounts,Apple,2019-01-15,0.0
220,Apple Replaced 11 Million iPhone Batteries in Its $29 Program,Apple,2019-01-15,0.0
221,Apple’s battery cases return for the iPhone XS and XR,Apple,2019-01-15,-2.82842712474619
222,"Apple replaced 11 million iPhone batteries in its $29 program, report says - CNET",Apple,2019-01-15,-2.0
223,"Apple May Be Working on 7th-Generation iPod Touch, 2019 iPhones Could Adopt USB-C",Apple,2019-01-15,2.0
224,Report: Apple may abandon Lightning for USB-C (and bring back the iPod Touch),Apple,2019-01-15,0.0
225,"Apple Releases Smart Battery Cases for iPhone XS, XS Max and XR, Qi Wireless Charging Supported",Apple,2019-01-15,1.0
226,Apple expands its reach with free Apple Music on Verizon Wireless,Apple,2019-01-16,3.414213562373095
227,Verizon extends free Apple Music subscription for some Unlimited plans indefinitely,Apple,2019-01-16,4.464101615137755
228,Apple reportedly looking to subsidize Watch with Medicare plans,Apple,2019-01-16,2.056327574617545
229,Apple in Discussions With Private Medicare Plans to Offer Apple Watch to Seniors,Apple,2019-01-16,-0.3049971406652093
230,Showrunner Jason Katims Leaves Universal TV to Develop Content for Apple,Apple,2019-01-16,2.0
231,"Chuck Wendig, Apple Reviewer",Apple,2019-01-16,2.017687680370636
232,AirPower Referenced in iPhone XS Smart Battery Case Description in Malaysia,Apple,2019-01-16,0.0
233,Select Verizon Wireless customers can get Apple Music for free,Apple,2019-01-16,4.414213562373095
234,Apple Maps Gooses DuckDuckGo In Search Privacy Partnership,Apple,2019-01-16,1.4142135623730951
235,"Apple launches battery cases for the iPhone XS, XS Max, and XR at $129",Apple,2019-01-16,2.0
236,Apple reportedly working to subsidize Apple Watch costs for at-risk seniors through private Medicare plans,Apple,2019-01-16,-0.1016001016001525
237,"Watch Scott Forstall talk working with Steve Jobs, the creation of Apple TV, and more [Video]",Apple,2019-01-16,-2.0
238,Tim Cook on iPhone Sales: We Need to Talk About Facebook,Apple,2019-01-17,0.76782461984786
239,Apple CEO Tim Cook to Congress: It’s time to stand up for the right to privacy,Apple,2019-01-17,1.0
240,Johnson & Johnson partners with Apple to see if Watch can prevent strokes,Apple,2019-01-17,0.6982180463458955
241,Apple's Tim Cook calls for new regulations to protect your personal data - CNET,Apple,2019-01-17,-1.048745925302263
242,How to use this time-saving feature Apple added to the iPhone,Apple,2019-01-17,0.0
243,Apple’s inconvenient truth: It’s part of the data surveillance economy,Apple,2019-01-17,2.3949716649258317
244,Ecobee on iOS updated with new Apple Watch app for smart home control,Apple,2019-01-17,1.0852369042491279
245,Leaked Benchmarks Suggest iPhone XS Outperforms Samsung's Upcoming Galaxy S10+,Apple,2019-01-17,2.0
246,Johnson & Johnson study to determine whether Apple Watch can diagnose stroke risk,Apple,2019-01-17,-2.6314674081170284
247,Apple Watch could get more hands-free tilt controls in future watchOS update,Apple,2019-01-17,1.0
248,Suppliers slash 2019 forecasts as iPhone faces ‘extraordinary’ drop in Chinese demand,Apple,2019-01-17,-1.0
249,China accuses Apple of ‘incorrect’ references to Taiwan and Hong Kong,Apple,2019-01-17,-4.98663008492925
250,"Sling TV adds personalized recommendations, starting on Apple TV",Apple,2019-01-18,0.5570620037553528
251,"Sling TV adds personalized recommendations, launching first on Apple TV",Apple,2019-01-18,2.6937799777061366
252,"Privacy campaigner Schrems slaps Amazon, Apple, Netflix, others with GDPR data access complaints",Apple,2019-01-18,-1.0940246630874153
253,Super expensive Apple Watch lookalike makes you work hard to tell the time,Apple,2019-01-18,-7.146139353699075
254,"Apple wants to bring the Apple Watch to Medicare Advantage members (AAPL, AET, UNH)",Apple,2019-01-18,-1.6984886554222363
255,Apple Watch to be used in stroke prevention research - CNET,Apple,2019-01-18,-2.0
256,Apple Ordered to Retract Part of Press Release in Ongoing Qualcomm Battle,Apple,2019-01-18,-1.0
257,Qualcomm wouldn't release modems as often without Apple's business - CNET,Apple,2019-01-18,0.3368961154606737
258,The Best macOS Apps That Actually Make Good Use of the Touch Bar,Apple,2019-01-18,-0.29942115811058634
259,4 apps to help your Mac run better,Apple,2019-01-18,2.7356570682779524
260,"Best Buy’s Apple shopping event offers deals on latest MacBooks, Apple Watch Series 3, more",Apple,2019-01-18,3.7922656725453834
261,Amazon has Apple's newest MacBook Air for $999 - CNET,Apple,2018-12-19,1.66858267765416
262,Apple's Newest Mac Pro Turns Five Years Old Today,Apple,2018-12-19,0.0
263,Amazon promises Apple Music integration coming to third-party Alexa-enabled speakers after Echo exclusivity,Apple,2018-12-19,2.0
264,"Zero Sign-on now live on Apple TV, but Spectrum TV app delayed to 2019",Apple,2018-12-19,-2.417128571881321
265,"Google’s Waze CEO says company celebrates annual ‘Tim Cook Day’, attributes app success to Apple Maps debacle",Apple,2018-12-19,1.414213562373095
266,Apple says you’ll soon be able to gift in-app purchases to other users from the App Store,Apple,2018-12-19,1.990723787792506
267,"Apple TV's zero sign-on goes live for Spectrum subscribers, but no app in sight",Apple,2018-12-19,-2.789943329851663
268,Apple shares new holiday-themed ‘Shot on iPhone XS and XR’ feature,Apple,2018-12-19,1.1782178217821782
269,Review: Belkin’s Boost Up Wireless Charging Dock for iPhone + Apple Watch is a solid alternative for AirPower holdouts,Apple,2018-12-19,3.442896218729701
270,"Qualcomm slams Apple’s response to iPhone ban in China, says it should be ‘taking a bite out of sales’",Apple,2018-12-19,-4.82842712474619
271,"Outfit your favorite phone, tablet, or laptop with 30% off all Speck cases",Apple,2018-12-19,2.4133735186028797
272,Comment: Now is the time for Apple to really market privacy to mass-market consumers,Apple,2018-12-19,-3.1547005383792515
273,"Apple says some 2018 iPad Pros might ship with a bent chassis, but claims it’s not a defect",Apple,2018-12-19,-2.5524830150148543
274,"Apple launches new interactive transparency report webpage, shows uptick in government data requests",Apple,2018-12-20,1.4142135623730951
275,Apple patent shows off immersive AR maps projected from iPhone,Apple,2018-12-20,1.4094865835678874
